codigo_aeropuerto,nombre_aeropuerto,ciudad,estado,latitude,longitude,direccion
ABI,Abilene Regional,Abilene,TX,32.45095,-99.735678,"202 Cedar St (North 2nd), Abilene, TX 79601"
CAK,Akron-Canton Regional,Akron,OH,41.080564,-81.519677,"182 S Main St, Akron, OH 44308"
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.640846,-84.432594,"6000 N Terminal Pkwy (at Airport Loop Rd), Atlanta, GA 30320"
JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,32.353325,-90.880255,"923 Walnut St, Vicksburg, MS 39183"
JAX,Jacksonville International,Jacksonville,FL,30.328992,-81.657959,"303 N Laura St (Duval St.), Jacksonville, FL 32202"
OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,34.88,-77.6,"264 Albert Ellis Airport Road, Richlands, NC 28574"
JMS,Jamestown Regional,Jamestown,ND,46.905755,-98.708982,"310 1st Ave S, Jamestown, ND 58401"
JST,John Murtha Johnstown-Cambria County,Johnstown,PA,40.319491,-78.833163,"479 Airport Rd, Johnstown, PA 15904"
JLN,Joplin Regional,Joplin,MO,37.086554,-94.514722,"506 S Joplin Ave, Joplin, MO 64801"
JNU,Juneau International,Juneau,AK,58.296738,-134.400306,"489 S Franklin St, Juneau, AK 99801"
OGG,Kahului Airport,Kahului,HI,20.88783,-156.469582,"130 W Kamehameha Ave, Kahului, HI 96732"
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,42.293318,-85.58375,"230 N Rose St (btw Eleanor St. & Water St.), Kalamazoo, MI 49007"
FCA,Glacier Park International,Kalispell,MT,48.192328,-114.307831,"705 2nd Ave E, Kalispell, MT 59901"
MCI,Kansas City International,Kansas City,MO,39.098993,-94.582887,"1261 Main St (at E 13th St), Kansas City, MO 64105"
EAR,Kearney Regional,Kearney,NE,40.696041,-99.083512,"2020 1st Ave (21st), Kearney, NE 68847"
KTN,Ketchikan International,Ketchikan,AK,55.341053,-131.64631,"131 Front St (mission St. and front), Ketchikan, AK 99901"
EYW,Key West International,Key West,FL,24.547234,-81.786024,"1100 Atlantic Blvd, Key West, FL 33040"
ACY,Atlantic City International,Atlantic City,NJ,39.360282985488496,-74.4202709197998,"1000 Boardwalk (at Maryland Ave), Atlantic City, NJ 08401"
GRK,Robert Gray AAF,Killeen,TX,31.125859,-97.724992,"1015 N 8th St, Killeen, TX 76541"
AGS,Augusta Regional at Bush Field,Augusta,GA,33.477491,-81.970478,"1033 Broad St, Augusta, GA 30901"
AKN,King Salmon Airport,King Salmon,AK,58.6768,-156.649,"1 King Salmon Airport Rd, King Salmon, AK 99613"
TYS,McGhee Tyson,Knoxville,TN,35.962261,-83.919578,"500 W Church Ave, Knoxville, TN 37902"
ADQ,Kodiak Airport,Kodiak,AK,57.790575,-152.407234,"117 Lower Mill Bay Rd, Kodiak, AK 99615"
KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,19.738889,-156.045556,"73-200 Kupipi St, Kailua-Kona, HI 96740, USA"
OTZ,Ralph Wien Memorial,Kotzebue,AK,66.8847,-162.599,"1 Airport Way, Kotzebue, AK 99752"
LSE,La Crosse Regional,La Crosse,WI,43.817134,-91.240095,"1128 La Crosse St, La Crosse, WI 54601"
LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,30.2052,-91.98812,"200 Terminal Drive, Suite 200, Lafayette, LA 70508"
LCH,Lake Charles Regional,Lake Charles,LA,30.23616,-93.23323,"N Lakeshore Dr, Lake Charles, LA 70601"
LAN,Capital Region International,Lansing,MI,42.741164,-84.566921,"1026 W Saginaw St, Lansing, MI 48915"
LAR,Laramie Regional,Laramie,WY,41.309242,-105.587934,"710 E Garfield St, Laramie, WY 82070"
LRD,Laredo International,Laredo,TX,27.501686,-99.511221,"1600 Water St, Laredo, TX 78040"
LAS,Harry Reid International,Las Vegas,NV,36.136279,-115.151316,"3000 Paradise Rd, Las Vegas, NV 89109"
LBE,Arnold Palmer Regional,Latrobe,PA,40.285066,-79.384819,"RTE 30 E (at Colony Ln.), Latrobe, PA 15650"
LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,37.970207,-100.873154,"615 N Main St, Garden City, KS 67846"
LWB,Greenbrier Valley,Lewisburg,WV,37.801457,-80.445328,"113 E Washington St (at S Jefferson St), Lewisburg, WV 24901"
LWS,Lewiston Nez Perce County,Lewiston,ID,46.416459,-117.017108,"1230 Idaho St, Lewiston, ID 83501"
AUS,Austin - Bergstrom International,Austin,TX,30.245094,-97.723244,"2200 S Lakeshore Blvd, Austin, TX 78741"
LEX,Blue Grass,Lexington,KY,37.990974,-84.480405,"3357 Sutherland Dr, Lexington, KY 40517"
LBL,Liberal Mid-America Regional,Liberal,KS,37.030786,-100.914871,"508 Hotel Dr, Liberal, KS 67901"
LIH,Lihue Airport,Lihue,HI,21.977769,-159.374941,"4602 Hoomana Rd (Hwy 50), Lihue, HI 96766"
LNK,Lincoln Airport,Lincoln,NE,40.800375,-96.679663,"1222 S 27th St, Lincoln, NE 68502"
LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,34.73,-92.22,"1 Airport Drive, Little Rock, AR 72202, USA"
LGB,Long Beach Airport,Long Beach,CA,33.770337,-118.190998,"210 E 3rd St (The Promenade N), Long Beach, CA 90802"
GGG,East Texas Regional,Longview,TX,32.499433,-94.739917,"412 N High St, Longview, TX 75605"
ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,37.46834,-105.866847,"631 Main St (San Juan), Alamosa, CO 81101"
LAX,Los Angeles International,Los Angeles,CA,34.05686,-118.23968,"125 Paseo De La Plz (btwn Main & Los Angeles St), Los Angeles, CA 90012"
SDF,Louisville Muhammad Ali International,Louisville,KY,38.256893,-85.755663,"325 W Main St (4th Street), Louisville, KY 40202"
LBB,Lubbock Preston Smith International,Lubbock,TX,33.588548,-101.851066,"1501 Mac Davis Ln (15th St.), Lubbock, TX 79401"
MSN,Dane County Regional-Truax Field,Madison,WI,43.074705,-89.384103,"2 E Main St (at Mifflin, Main, Carroll, Pinckney), Madison, WI 53703"
MHT,Manchester Boston Regional,Manchester,NH,42.97480611879349,-71.4589861035347,"98 Willow St, Manchester, NH 03103"
MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,39.042792,-96.833135,"1901 Buffalo Soldier Pkwy, Junction City, KS 66442"
MQT,Marquette Sawyer Regional,Marquette,MI,46.54258,-87.392764,"119 S Front St (Main), Marquette, MI 49855"
MCW,Mason City Municipal,Mason City,IA,43.152004,-93.199894,"28 E State St, Mason City, IA 50401"
MFR,Rogue Valley International - Medford,Medford,OR,42.3742,-122.873,"1000 Terminal Loop Pkwy, Medford, OR 97504"
MLB,Melbourne International,Melbourne,FL,28.083887,-80.611131,"625 E Hibiscus Blvd, Melbourne, FL 32901"
MEM,Memphis International,Memphis,TN,35.0421,-89.9792,"2491 Winchester, Suite 113, Memphis, TN 38116"
MEI,Key Field,Meridian,MS,32.354214,-88.680074,"100 15th Pl S, Meridian, MS 39301"
MIA,Miami International,Miami,FL,25.787716,-80.195615,"50 NW 14th St, Miami, FL 33136"
ABY,Southwest Georgia Regional,Albany,GA,31.578851,-84.155677,"323 Pine Ave, Albany, GA 31701"
MAF,Midland International Air and Space Port,Midland/Odessa,TX,31.857542,-102.357899,"1310 E 8th St, Odessa, TX 79761"
MKE,General Mitchell International,Milwaukee,WI,43.041791,-87.923432,"5300 S Howell Ave, Milwaukee, WI 53207"
MSP,Minneapolis-St Paul International,Minneapolis,MN,44.975838,-93.276599,"15 S 9th St (btw Hennepin Ave & Lasalle Ave), Minneapolis, MN 55402"
MOT,Minot International,Minot,ND,48.250377,-101.293189,"1400 N Broadway, Minot, ND 58703"
MFE,McAllen International,Mission/McAllen/Edinburg,TX,26.26646,-98.17224,"3801 S Business Highway 281, Edinburg, TX 78539"
