distancia_millas,aeropuerto_origen,aeropuerto_destino
692.0,ABE,ATL
685.0,ABE,BNA
481.0,ABE,CLT
425.0,ABE,DTW
1041.0,ABE,FLL
654.0,ABE,ORD
1018.0,ABE,PGD
970.0,ABE,PIE
882.0,ABE,SFB
158.0,ABI,DFW
1269.0,ABQ,ATL
619.0,ABQ,AUS
1670.0,ABQ,BWI
580.0,ABQ,DAL
349.0,ABQ,DEN
569.0,ABQ,DFW
759.0,ABQ,HOU
744.0,ABQ,IAH
1826.0,ABQ,JFK
486.0,ABQ,LAS
677.0,ABQ,LAX
718.0,ABQ,MCI
1553.0,ABQ,MCO
1121.0,ABQ,MDW
981.0,ABQ,MSP
889.0,ABQ,OAK
1118.0,ABQ,ORD
1111.0,ABQ,PDX
328.0,ABQ,PHX
628.0,ABQ,SAN
1180.0,ABQ,SEA
896.0,ABQ,SFO
870.0,ABQ,SJC
493.0,ABQ,SLC
257.0,ABR,MSP
145.0,ABY,ATL
89.0,ACT,DFW
1026.0,ACV,DEN
577.0,ACV,LAX
250.0,ACV,SFO
977.0,ACY,FLL
852.0,ACY,MCO
466.0,ACY,MYR
936.0,ACY,PBI
982.0,ACY,RSW
913.0,ACY,TPA
1192.0,ADK,ANC
253.0,ADQ,ANC
500.0,AEX,ATL
285.0,AEX,DFW
190.0,AEX,IAH
143.0,AGS,ATL
140.0,AGS,CLT
468.0,AGS,DCA
874.0,AGS,DFW
853.0,ALB,ATL
289.0,ALB,BWI
646.0,ALB,CLT
318.0,ALB,DCA
1610.0,ALB,DEN
489.0,ALB,DTW
143.0,ALB,EWR
1204.0,ALB,FLL
325.0,ALB,IAD
1073.0,ALB,MCO
717.0,ALB,MDW
980.0,ALB,MSP
723.0,ALB,ORD
1185.0,ALB,PGD
1138.0,ALB,PIE
1205.0,ALB,RSW
1049.0,ALB,SFB
1130.0,ALB,TPA
234.0,ALO,ORD
323.0,AMA,DAL
359.0,AMA,DEN
312.0,AMA,DFW
537.0,AMA,HOU
517.0,AMA,IAH
758.0,AMA,LAS
602.0,AMA,PHX
1192.0,ANC,ADK
253.0,ANC,ADQ
399.0,ANC,BET
160.0,ANC,CDV
2405.0,ANC,DEN
261.0,ANC,FAI
2777.0,ANC,HNL
571.0,ANC,JNU
2874.0,ANC,KOA
2345.0,ANC,LAX
2519.0,ANC,MSP
2797.0,ANC,OGG
539.0,ANC,OME
2846.0,ANC,ORD
548.0,ANC,OTZ
1542.0,ANC,PDX
2552.0,ANC,PHX
626.0,ANC,SCC
1448.0,ANC,SEA
198.0,APN,DTW
69.0,APN,PLN
287.0,,PHL
1304.0,ASE,ATL
125.0,ASE,DEN
701.0,ASE,DFW
913.0,ASE,IAH
737.0,ASE,LAX
802.0,ASE,MSP
1013.0,ASE,ORD
491.0,ASE,PHX
848.0,ASE,SFO
292.0,ASE,SLC
692.0,ATL,ABE
1269.0,ATL,ABQ
145.0,ATL,ABY
500.0,ATL,AEX
143.0,ATL,AGS
853.0,ATL,ALB
1304.0,ATL,ASE
765.0,ATL,ATW
813.0,ATL,AUS
164.0,ATL,AVL
714.0,ATL,AVP
859.0,ATL,BDL
134.0,ATL,BHM
533.0,ATL,BMI
214.0,ATL,BNA
946.0,ATL,BOS
238.0,ATL,BQK
448.0,ATL,BTR
961.0,ATL,BTV
712.0,ATL,BUF
1941.0,ATL,BUR
577.0,ATL,BWI
1640.0,ATL,BZN
192.0,ATL,CAE
528.0,ATL,CAK
106.0,ATL,CHA
457.0,ATL,CHO
259.0,ATL,CHS
694.0,ATL,CID
554.0,ATL,CLE
226.0,ATL,CLT
447.0,ATL,CMH
1184.0,ATL,COS
363.0,ATL,CRW
83.0,ATL,CSG
373.0,ATL,CVG
366.0,ATL,DAB
721.0,ATL,DAL
432.0,ATL,DAY
547.0,ATL,DCA
1199.0,ATL,DEN
731.0,ATL,DFW
170.0,ATL,DHN
743.0,ATL,DSM
594.0,ATL,DTW
240.0,ATL,ECP
1312.0,ATL,EGE
717.0,ATL,ELM
1282.0,ATL,ELP
350.0,ATL,EVV
433.0,ATL,EWN
746.0,ATL,EWR
646.0,ATL,EYW
1123.0,ATL,FAR
331.0,ATL,FAY
581.0,ATL,FLL
645.0,ATL,FNT
954.0,ATL,FSD
579.0,ATL,FSM
508.0,ATL,FWA
300.0,ATL,GNV
352.0,ATL,GPT
774.0,ATL,GRB
640.0,ATL,GRR
306.0,ATL,GSO
153.0,ATL,GSP
241.0,ATL,GTR
1340.0,ATL,HDN
238.0,ATL,HHH
4502.0,ATL,HNL
696.0,ATL,HOU
780.0,ATL,HPN
151.0,ATL,HSV
534.0,ATL,IAD
689.0,ATL,IAH
782.0,ATL,ICT
377.0,ATL,ILM
432.0,ATL,IND
795.0,ATL,ISP
1572.0,ATL,JAC
341.0,ATL,JAN
270.0,ATL,JAX
760.0,ATL,JFK
1747.0,ATL,LAS
1947.0,ATL,LAX
304.0,ATL,LEX
503.0,ATL,LFT
762.0,ATL,LGA
453.0,ATL,LIT
841.0,ATL,LNK
683.0,ATL,MBS
692.0,ATL,MCI
404.0,ATL,MCO
620.0,ATL,MDT
591.0,ATL,MDW
332.0,ATL,MEM
147.0,ATL,MGM
952.0,ATL,MHT
594.0,ATL,MIA
669.0,ATL,MKE
442.0,ATL,MLB
633.0,ATL,MLI
448.0,ATL,MLU
302.0,ATL,MOB
707.0,ATL,MSN
907.0,ATL,MSP
425.0,ATL,MSY
1352.0,ATL,MTJ
317.0,ATL,MYR
399.0,ATL,OAJ
2130.0,ATL,OAK
761.0,ATL,OKC
821.0,ATL,OMA
1900.0,ATL,ONT
606.0,ATL,ORD
516.0,ATL,ORF
545.0,ATL,PBI
2172.0,ATL,PDX
508.0,ATL,PHF
666.0,ATL,PHL
1587.0,ATL,PHX
565.0,ATL,PIA
526.0,ATL,PIT
271.0,ATL,PNS
1840.0,ATL,PSP
903.0,ATL,PVD
1027.0,ATL,PWM
356.0,ATL,RDU
481.0,ATL,RIC
1993.0,ATL,RNO
357.0,ATL,ROA
749.0,ATL,ROC
831.0,ATL,RST
515.0,ATL,RSW
1892.0,ATL,SAN
874.0,ATL,SAT
214.0,ATL,SAV
566.0,ATL,SBN
321.0,ATL,SDF
2182.0,ATL,SEA
2139.0,ATL,SFO
563.0,ATL,SGF
551.0,ATL,SHV
2116.0,ATL,SJC
1547.0,ATL,SJU
1590.0,ATL,SLC
2092.0,ATL,SMF
1919.0,ATL,SNA
444.0,ATL,SRQ
484.0,ATL,STL
1599.0,ATL,STT
1638.0,ATL,STX
794.0,ATL,SYR
223.0,ATL,TLH
406.0,ATL,TPA
227.0,ATL,PSC
701.0,ATL,TTN
674.0,ATL,TUL
1541.0,ATL,TUS
152.0,ATL,TYS
208.0,ATL,VLD
250.0,ATL,VPS
589.0,ATL,XNA
765.0,ATW,ATL
1452.0,ATW,AZA
296.0,ATW,DTW
1510.0,ATW,LAS
236.0,ATW,MSP
161.0,ATW,ORD
1250.0,ATW,PGD
1173.0,ATW,PIE
1141.0,ATW,SFB
519.0,ATY,DEN
507.0,ATY,ORD
619.0,AUS,ABQ
813.0,AUS,ATL
756.0,AUS,BNA
1698.0,AUS,BOS
1342.0,AUS,BWI
1032.0,AUS,CLT
1073.0,AUS,CMH
958.0,AUS,CVG
189.0,AUS,DAL
1315.0,AUS,DCA
775.0,AUS,DEN
190.0,AUS,DFW
1149.0,AUS,DTW
528.0,AUS,ELP
1504.0,AUS,EWR
1105.0,AUS,FLL
148.0,AUS,HOU
273.0,AUS,HRL
1297.0,AUS,IAD
140.0,AUS,IAH
919.0,AUS,IND
1521.0,AUS,JFK
1090.0,AUS,LAS
1242.0,AUS,LAX
341.0,AUS,LBB
1226.0,AUS,LGB
650.0,AUS,MCI
994.0,AUS,MCO
972.0,AUS,MDW
1103.0,AUS,MIA
1042.0,AUS,MSP
444.0,AUS,MSY
1497.0,AUS,OAK
1196.0,AUS,ONT
977.0,AUS,ORD
1715.0,AUS,PDX
1430.0,AUS,PHL
872.0,AUS,PHX
1162.0,AUS,RDU
1164.0,AUS,SAN
1770.0,AUS,SEA
994.0,AUS,SFB
1504.0,AUS,SFO
1476.0,AUS,SJC
1086.0,AUS,SLC
1481.0,AUS,SMF
1209.0,AUS,SNA
721.0,AUS,STL
928.0,AUS,TPA
164.0,AVL,ATL
414.0,AVL,BWI
91.0,AVL,CLT
1248.0,AVL,DEN
848.0,AVL,DFW
583.0,AVL,EWR
660.0,AVL,FLL
599.0,AVL,LGA
488.0,AVL,MCO
536.0,AVL,ORD
620.0,AVL,PBI
588.0,AVL,PGD
504.0,AVL,PHL
519.0,AVL,PIE
465.0,AVL,SFB
554.0,AVL,SRQ
514.0,AVL,TPA
714.0,AVP,ATL
509.0,AVP,CLT
399.0,AVP,DTW
632.0,AVP,ORD
